make,model,year_from,year_to,engine_code,fuel_type,oil_filter_oem,oil_filter_mann,oil_filter_filtron,air_filter_oem,air_filter_mann,air_filter_filtron,cabin_filter_oem,cabin_filter_mann,cabin_filter_filtron,confidence,notes
Smart,ForFour,2004,2006,4A90,petrol,MN195396,W 67/2,OP 564/1,MR968274,C 2620,AP 120/3,MR958016,CU 2316,K 1145,,MEDIUM,454 model 1.1L Mitsubishi - shared with Colt
Smart,ForFour,2004,2006,4A91,petrol,MN195396,W 67/2,OP 564/1,MR968274,C 2620,AP 120/3,MR958016,CU 2316,K 1145,,MEDIUM,454 model 1.3L Mitsubishi
Smart,ForFour,2004,2006,4A92,petrol,MN195396,W 67/2,OP 564/1,MR968274,C 2620,AP 120/3,MR958016,CU 2316,K 1145,,MEDIUM,454 model 1.5L Mitsubishi
Smart,ForFour,2014,2019,M281,petrol,A2811800210,W 75/4,OP 616/3,A4530940000,C 1618,AP 135/5,A4538350100,CU 22 028,K 1321A,,HIGH,453 model - identical to ForTwo 453
Smart,ForFour,2014,2019,H4B,petrol,A2811800210,W 75/4,OP 616/3,A4530940000,C 1618,AP 135/5,A4538350100,CU 22 028,K 1321A,,HIGH,453 model - identical to ForTwo 453
Chrysler,PT Cruiser,2000,2010,ECN/EDZ,petrol,4884899AC,W 610/6,OP 583,4891694AA,C 2860,AP 154/1,5058693AA,CU 2442,K 1126,,HIGH,2.0/2.4L World Engine - spin-on oil filter
Chrysler,PT Cruiser,2002,2010,OM646,diesel,5175571AA,HU 821 x,OE 649/2,5189959AA,C 2774,AP 173/1,5058693AA,CU 2442,K 1126,,MEDIUM,2.2 CRD Mercedes diesel
Chrysler,Sebring,2001,2006,EDZ,petrol,4884899AC,W 610/6,OP 583,4891694AA,C 2860,AP 154/1,5058693AA,CU 2442,K 1126,,HIGH,2.4L DOHC JR platform
Chrysler,Sebring,2007,2010,EBA/ECN,petrol,4884899AC,W 610/6,OP 583,4891694AA,C 2860,AP 154/1,5058693AA,CU 2442,K 1126,,HIGH,2.4L GEMA JS platform
Chrysler,Sebring,2001,2010,EER,petrol,4892339AA,W 610/6,OP 583,4891694AA,C 2860,AP 154/1,5058693AA,CU 2442,K 1126,,MEDIUM,2.7L V6 - same spin-on filter housing
Chrysler,300C,2005,2010,EGG,petrol,4892339AA,W 610/6,OP 583,4861756AA,C 26 168,AP 183/2,82205905,CUK 3139,K 1167A,,HIGH,3.5L V6 LX platform
Chrysler,300C,2005,2010,EZH,petrol,5281090AB,W 719/45,OP 592/8,4861756AA,C 26 168,AP 183/2,82205905,CUK 3139,K 1167A,,HIGH,5.7L Hemi V8 - different spin-on oil filter
Chrysler,300C,2011,2023,ERB,petrol,68191349AC,HU 7020 z,OE 682/3,68197800AA,C 26 168,AP 183/2,68071668AA,CUK 3139,K 1167A,,HIGH,3.6L Pentastar - cartridge oil filter
Chrysler,300C,2012,2014,EGF,diesel,5175571AA,HU 821 x,OE 649/2,68143102AA,C 31 003,AP 080/5,68071668AA,CUK 3139,K 1167A,,MEDIUM,3.0 CRD Mercedes OM642 diesel
Chrysler,Grand Voyager,2001,2007,EGA,petrol,4105409AB,W 610/3,OP 537,4891694AA,C 2860,AP 154/1,4885955AB,CU 3540,K 1161,,MEDIUM,3.3L V6 OHV RS/RG
Chrysler,Grand Voyager,2008,2016,ERB,petrol,68191349AC,HU 7020 z,OE 682/3,4891694AA,C 2860,AP 154/1,68042866AA,CU 3540,K 1161,,HIGH,3.6L Pentastar RT platform
Chrysler,Grand Voyager,2001,2007,ENJ,diesel,5019741AA,HU 821 x,OE 649/2,4861480AA,C 31 152,AP 155/1,4885955AB,CU 3540,K 1161,,MEDIUM,2.5L CRD VM Motori
Chrysler,Grand Voyager,2008,2016,ENS,diesel,68032204AB,HU 8002 x,OE 677/2,68001735AB,C 31 005,AP 080/6,68042866AA,CU 3540,K 1161,,MEDIUM,2.8 CRD VM Motori R428
Chrysler,Neon,1999,2005,ECH,petrol,4105409AB,W 610/3,OP 537,4891694AA,C 2860,AP 154/1,5013595AB,CU 2442,K 1126,,HIGH,2.0L SOHC PL platform
Chrysler,Crossfire,2003,2008,M112,petrol,0001803109,HU 718/5 x,OE 672/1,0000942004,C 32 130,AP 051/1,A2108301018,CUK 3461,K 1111A,,MEDIUM,3.2L V6 Mercedes M112 - SLK R170 platform
Chrysler,200,2011,2017,ECN,petrol,4884899AC,W 610/6,OP 583,4891694AA,C 2860,AP 154/1,68071668AA,CUK 3139,K 1167A,,HIGH,2.4L GEMA
Chrysler,200,2015,2017,ERB,petrol,68191349AC,HU 7020 z,OE 682/3,68245491AA,C 26 168,AP 183/2,68071668AA,CUK 3139,K 1167A,,HIGH,3.6L Pentastar
Chrysler,Town & Country,2008,2016,ERB,petrol,68191349AC,HU 7020 z,OE 682/3,4891694AA,C 2860,AP 154/1,68042866AA,CU 3540,K 1161,,HIGH,3.6L Pentastar - same as Grand Voyager
Dodge,Neon,1999,2005,ECH,petrol,4105409AB,W 610/3,OP 537,4891694AA,C 2860,AP 154/1,5013595AB,CU 2442,K 1126,,HIGH,Same as Chrysler Neon
Dodge,Caliber,2006,2012,ECN,petrol,4884899AC,W 610/6,OP 583,4891694AA,C 2860,AP 154/1,68071668AA,CUK 3139,K 1167A,,HIGH,2.0/2.4L GEMA - PM platform
Dodge,Journey,2008,2020,ERB,petrol,68191349AC,HU 7020 z,OE 682/3,4891694AA,C 2860,AP 154/1,68071668AA,CUK 3139,K 1167A,,HIGH,3.6L Pentastar V6
Dodge,Journey,2008,2020,ED3,petrol,4884899AC,W 610/6,OP 583,4891694AA,C 2860,AP 154/1,68071668AA,CUK 3139,K 1167A,,HIGH,2.4L GEMA
