make,model,year_from,year_to,platform,low_beam,high_beam,front_fog,front_turn,rear_turn,tail_brake,reverse,license_plate,notes
Opel,Crossland,2017,2025,P17,H7,H7,H11,PY21W,PY21W,P21W,W16W,W5W,Halogen standard
Suzuki,Vitara,2015,2025,LY,H4,—,H11,WY21W,WY21W,W21/5W,W16W,W5W,H4 dual-beam
Suzuki,Swift,2017,2025,AZ,H4,—,H11,WY21W,WY21W,W21/5W,W16W,W5W,H4 dual-beam
Suzuki,S-Cross,2013,2025,YA/YB,H4,—,H11,WY21W,WY21W,W21/5W,W16W,W5W,H4 dual-beam
Dacia,Sandero,2021,2025,BJI,H7,H7,H16,PY21W,PY21W,P21/5W,W16W,W5W,Halogen standard
Dacia,Duster,2018,2025,HM,H7,H7,H16,PY21W,PY21W,P21/5W,W16W,W5W,Halogen standard
Mitsubishi,Outlander,2013,2021,GF,H11,HB3,H11,WY21W,WY21W,W21/5W,W16W,W5W,Halogen standard
Mitsubishi,ASX,2010,2025,GA,H11,HB3,H11,WY21W,WY21W,W21/5W,W16W,W5W,Halogen
Lexus,NX,2014,2021,AZ10,LED,LED,H16,WY21W,WY21W,W21/5W,W16W,W5W,LED headlights standard; halogen fog
Lexus,NX,2021,2025,AZ20,LED,LED,LED,LED,LED,LED,W16W,W5W,Full LED
Lexus,UX,2018,2025,ZA10,LED,LED,LED,LED,LED,LED,W16W,W5W,Full LED standard
Jaguar,E-PACE,2018,2025,X540,LED,LED,LED,PY21W,PY21W,P21W,W16W,W5W,LED headlights; some signals still bulb
Jaguar,F-PACE,2016,2025,X761,LED,LED,LED,PY21W,LED,LED,W16W,W5W,Full LED
Land Rover,Discovery Sport,2015,2025,L550,H7,H7,H11,PY21W,PY21W,P21W,W16W,W5W,Halogen base; LED optional
Land Rover,Range Rover Evoque,2019,2025,L551,LED,LED,LED,LED,LED,LED,W16W,W5W,Full LED standard
Alfa Romeo,Giulia,2016,2025,952,LED,LED,LED,PY21W,PY21W,P21W,W16W,W5W,LED headlights standard
Alfa Romeo,Stelvio,2017,2025,949,LED,LED,LED,PY21W,PY21W,P21W,W16W,W5W,LED standard
Chevrolet,Spark,2016,2025,M400,H4,—,H8,PY21W,PY21W,P21/5W,W16W,W5W,H4 dual-beam
Chevrolet,Trax,2013,2025,—,H7,H7,H8,PY21W,PY21W,P21/5W,W16W,W5W,Halogen
Porsche,Cayenne,2018,2025,PO536,LED,LED,LED,LED,LED,LED,W16W,W5W,Full LED/Matrix standard
Porsche,Macan,2014,2025,95B,LED,LED,LED,LED,LED,LED,W16W,W5W,LED standard
SsangYong,Tivoli,2015,2025,X100,H7,HB3,H8,PY21W,PY21W,P21/5W,W16W,W5W,Halogen standard
SsangYong,Korando,2019,2025,C300,LED,LED,LED,PY21W,PY21W,LED,W16W,W5W,LED headlights standard
MINI,Cooper,2014,2025,F55/F56,H11,H11,H11,PY21W,PY21W,P21W,W16W,W5W,Halogen standard; LED Ring optional
Jeep,Compass,2017,2025,MP,H11,HB3,H11,PY21W,PY21W,P21W,W16W,W5W,Halogen standard
Jeep,Renegade,2014,2025,BU,H7,H7,H11,PY21W,PY21W,P21/5W,W16W,W5W,Halogen standard
Smart,ForTwo,2014,2019,453,H4,—,H11,PY21W,PY21W,P21/5W,W16W,W5W,H4 dual-beam
Smart,ForFour,2014,2019,453,H4,—,H11,PY21W,PY21W,P21/5W,W16W,W5W,Same as ForTwo 453
Daihatsu,Sirion,2005,2013,M300,H4,—,H8,WY21W,WY21W,W21/5W,W16W,W5W,H4 dual-beam
Daihatsu,Terios,2006,2017,J200,H4,—,H8,WY21W,WY21W,W21/5W,W16W,W5W,H4 dual-beam
Chrysler,300C,2011,2023,LX2,H11,HB3,H11,3157A,3157A,3157,W16W,W5W,US-market SAE bulb types for signals
Chrysler,Grand Voyager,2008,2016,RT,H11,HB3,H11,3157A,3157A,3157,W16W,W5W,US-market SAE
Dodge,Journey,2008,2020,JC,H11,HB3,H11,3157A,3157A,3157,W16W,W5W,US-market SAE
MG,ZS,2017,2025,—,H7,H7,H11,PY21W,PY21W,P21/5W,W16W,W5W,Halogen standard
MG,HS,2019,2025,—,LED,LED,LED,PY21W,PY21W,LED,W16W,W5W,LED standard
DS,DS 3 Crossback,2019,2025,D34,LED,LED,LED,PY21W,PY21W,LED,W16W,W5W,LED standard
DS,DS 7 Crossback,2017,2025,X74,LED,LED,LED,LED,LED,LED,W16W,W5W,Full LED/Matrix
Chery,Tiggo 4 Pro,2021,2025,—,H7,H7,H11,PY21W,PY21W,P21/5W,W16W,W5W,Halogen standard
Chery,Tiggo 7 Pro,2020,2025,—,LED,LED,LED,PY21W,PY21W,LED,W16W,W5W,LED headlights standard
BYD,Atto 3,2022,2025,EA1,LED,LED,LED,LED,LED,LED,LED,LED,Full LED — all positions
BYD,Dolphin,2022,2025,—,LED,LED,LED,LED,LED,LED,LED,LED,Full LED
BYD,Seal,2023,2025,—,LED,LED,LED,LED,LED,LED,LED,LED,Full LED
Tesla,Model 3,2017,2025,—,LED,LED,LED,LED,LED,LED,LED,LED,Full LED — no replaceable bulbs
Tesla,Model Y,2020,2025,—,LED,LED,LED,LED,LED,LED,LED,LED,Full LED
Xpeng,G3/P5,2020,2025,—,LED,LED,LED,LED,LED,LED,LED,LED,Full LED
Zeekr,001/X,2022,2025,—,LED,LED,LED,LED,LED,LED,LED,LED,Full LED
GWM,Ora/Jolion,2021,2025,—,LED,LED,LED,LED,LED,LED,LED,LED,Full LED on Ora; Jolion LED headlights + PY21W turn signals
Geely,Coolray,2019,2025,—,LED,LED,LED,PY21W,PY21W,LED,W16W,W5W,LED headlights; bulb turn signals
