make,model,year_from,year_to,engine_code,fuel_type,oil_viscosity,oil_capacity_l,oil_spec,oil_oem_approval,oil_change_interval_km,notes
BMW,X2,2018,2024,B48B20,petrol,0W-20,5.25,ACEA C5,BMW LL-17 FE+,15000,
BMW,X2,2018,2024,B47D20,diesel,5W-30,5.0,ACEA C3,BMW LL-04,15000,
BMW,X4,2014,2018,N20B20,petrol,5W-30,4.8,ACEA A3/B3,BMW LL-01,15000,Same as X3
BMW,X4,2018,2024,B48B20,petrol,0W-20,5.25,ACEA C5,BMW LL-17 FE+,15000,
BMW,X4,2018,2024,B47D20,diesel,5W-30,5.0,ACEA C3,BMW LL-04,15000,
BMW,X6,2019,2024,B58B30,petrol,0W-20,6.5,ACEA C5,BMW LL-17 FE+,15000,Same as X5
BMW,X6,2019,2024,B47D20,diesel,5W-30,5.0,ACEA C3,BMW LL-04,15000,
BMW,X7,2019,2024,B58B30,petrol,0W-20,6.5,ACEA C5,BMW LL-17 FE+,15000,
BMW,X7,2019,2024,B57D30,diesel,5W-30,6.5,ACEA C3,BMW LL-04,15000,
BMW,Z4,2019,2024,B48B20,petrol,0W-20,5.25,ACEA C5,BMW LL-17 FE+,15000,G29 shares with 3 Series
BMW,M3,2021,2024,S58B30,petrol,0W-20,7.0,ACEA C5,BMW LL-17 FE+,10000,Competition engine
BMW,M4,2021,2024,S58B30,petrol,0W-20,7.0,ACEA C5,BMW LL-17 FE+,10000,
BMW,i3,2013,2022,,electric,,,,,30000,EV cabin filter only
BMW,i4,2021,2024,,electric,,,,,30000,EV cabin filter only
BMW,iX,2021,2024,,electric,,,,,30000,EV cabin filter only
BMW,iX1,2023,2024,,electric,,,,,30000,EV cabin filter only
BMW,iX2,2024,2024,,electric,,,,,30000,EV cabin filter only
BMW,iX3,2020,2024,,electric,,,,,30000,EV cabin filter only
BMW,i5,2023,2024,,electric,,,,,30000,EV cabin filter only
BMW,i7,2022,2024,,electric,,,,,30000,EV cabin filter only
Mercedes-Benz,CLA,2013,2019,M270,petrol,5W-30,5.5,ACEA A3/B4,MB 229.5,15000,Same as A-Class W176
Mercedes-Benz,CLA,2020,2024,M282,petrol,0W-20,5.2,ACEA C5,MB 229.71,15000,Same as A-Class W177
Mercedes-Benz,CLA,2020,2024,M260,petrol,0W-20,5.5,ACEA C5,MB 229.71,15000,
Mercedes-Benz,GLB,2020,2024,M282,petrol,0W-20,5.2,ACEA C5,MB 229.71,15000,Same as GLA
Mercedes-Benz,GLB,2020,2024,M260,petrol,0W-20,5.5,ACEA C5,MB 229.71,15000,
Mercedes-Benz,B-Class,2012,2018,M270,petrol,5W-30,5.5,ACEA A3/B4,MB 229.5,15000,W246
Mercedes-Benz,B-Class,2019,2024,M282,petrol,0W-20,5.2,ACEA C5,MB 229.71,15000,W247
Mercedes-Benz,GLE,2012,2018,M274,petrol,5W-30,6.5,ACEA A3/B4,MB 229.5,15000,W166
Mercedes-Benz,GLE,2012,2018,OM651,diesel,5W-30,6.5,ACEA C3,MB 229.51,20000,
Mercedes-Benz,GLE,2019,2024,M264,petrol,0W-20,6.0,ACEA C5,MB 229.71,15000,W167
Mercedes-Benz,GLE,2019,2024,M256,petrol,0W-20,8.5,ACEA C5,MB 229.71,15000,GLE 450 3.0L I6
Mercedes-Benz,GLE,2019,2024,OM654,diesel,5W-30,6.0,ACEA C3,MB 229.52,20000,
Mercedes-Benz,GLE Coupe,2020,2024,M264,petrol,0W-20,6.0,ACEA C5,MB 229.71,15000,C167
Mercedes-Benz,GLE Coupe,2020,2024,OM654,diesel,5W-30,6.0,ACEA C3,MB 229.52,20000,
Mercedes-Benz,GLS,2020,2024,M256,petrol,0W-20,8.5,ACEA C5,MB 229.71,15000,X167
Mercedes-Benz,GLS,2020,2024,OM656,diesel,5W-30,9.0,ACEA C3,MB 229.52,20000,3.0L I6 diesel
Mercedes-Benz,S-Class,2014,2020,M274,petrol,5W-30,6.5,ACEA A3/B4,MB 229.5,15000,W222
Mercedes-Benz,S-Class,2014,2020,M256,petrol,0W-20,8.5,ACEA C5,MB 229.71,15000,S450/S500
Mercedes-Benz,S-Class,2014,2020,OM656,diesel,5W-30,9.0,ACEA C3,MB 229.52,20000,
Mercedes-Benz,S-Class,2021,2024,M256,petrol,0W-20,8.5,ACEA C5,MB 229.71,15000,W223
Mercedes-Benz,S-Class,2021,2024,M254,petrol,0W-20,6.0,ACEA C5,MB 229.71,15000,S350d mild hybrid
Mercedes-Benz,CLS,2011,2018,M274,petrol,5W-30,6.5,ACEA A3/B4,MB 229.5,15000,C218
Mercedes-Benz,CLS,2019,2024,M256,petrol,0W-20,8.5,ACEA C5,MB 229.71,15000,C257
Mercedes-Benz,CLS,2019,2024,OM654,diesel,5W-30,6.0,ACEA C3,MB 229.52,20000,
Mercedes-Benz,G-Class,2018,2024,M256,petrol,0W-20,8.5,ACEA C5,MB 229.71,15000,W463A
Mercedes-Benz,G-Class,2018,2024,OM656,diesel,5W-30,9.0,ACEA C3,MB 229.52,20000,
Mercedes-Benz,SL,2022,2024,M256,petrol,0W-20,8.5,ACEA C5,MB 229.71,15000,R232
Mercedes-Benz,V-Class,2014,2024,OM651,diesel,5W-30,6.5,ACEA C3,MB 229.51,20000,W447
Mercedes-Benz,Vito,2014,2024,OM651,diesel,5W-30,6.5,ACEA C3,MB 229.51,20000,W447
Mercedes-Benz,Sprinter,2018,2024,OM654,diesel,5W-30,6.0,ACEA C3,MB 229.52,20000,W907
Mercedes-Benz,EQA,2021,2024,,electric,,,,,25000,EV cabin filter only
Mercedes-Benz,EQB,2022,2024,,electric,,,,,25000,EV cabin filter only
Mercedes-Benz,EQE,2022,2024,,electric,,,,,25000,EV cabin filter only
Mercedes-Benz,EQS,2022,2024,,electric,,,,,25000,EV cabin filter only
Audi,A1,2010,2018,CWVA,petrol,5W-30,3.8,ACEA C3,VW 502.00,15000,Same as VW Polo
Audi,A1,2019,2024,DKRF,petrol,5W-30,4.0,ACEA C3,VW 504.00,15000,
Audi,A5,2016,2024,CZDA,petrol,5W-30,3.6,ACEA C3,VW 502.00,15000,Same as A4
Audi,A5,2016,2024,DFGA,diesel,5W-30,4.7,ACEA C3,VW 507.00,30000,
Audi,A6,2011,2018,CZDA,petrol,5W-30,4.0,ACEA C3,VW 502.00,15000,C7 same engine family
Audi,A6,2011,2018,DFGA,diesel,5W-30,4.7,ACEA C3,VW 507.00,30000,
Audi,A6,2019,2024,CZDA,petrol,5W-30,4.0,ACEA C3,VW 502.00,15000,C8
Audi,A6,2019,2024,DFGA,diesel,5W-30,4.7,ACEA C3,VW 507.00,30000,
Audi,A7,2018,2024,CZDA,petrol,5W-30,4.0,ACEA C3,VW 502.00,15000,Shares with A6
Audi,A7,2018,2024,DFGA,diesel,5W-30,4.7,ACEA C3,VW 507.00,30000,
Audi,A8,2010,2017,CZDA,petrol,5W-30,4.0,ACEA C3,VW 502.00,15000,D4 - entry level engine
Audi,A8,2018,2024,CZDA,petrol,5W-30,4.0,ACEA C3,VW 502.00,15000,D5
Audi,TT,2014,2024,CZDA,petrol,5W-30,3.6,ACEA C3,VW 502.00,15000,Same as A3
Audi,Q2,2017,2024,DKRF,petrol,5W-30,4.0,ACEA C3,VW 504.00,15000,Same as VW Polo/T-Cross
Audi,Q2,2017,2024,CZDA,petrol,5W-30,3.6,ACEA C3,VW 502.00,15000,
Audi,Q7,2015,2024,CZPA,petrol,5W-30,5.7,ACEA C3,VW 502.00,15000,Same as Tiguan/Q5
Audi,Q7,2015,2024,DFGA,diesel,5W-30,4.7,ACEA C3,VW 507.00,30000,
Audi,Q8,2019,2024,CZPA,petrol,5W-30,5.7,ACEA C3,VW 502.00,15000,Shares with Q7
Audi,Q8,2019,2024,DFGA,diesel,5W-30,4.7,ACEA C3,VW 507.00,30000,
Audi,Q8 e-tron,2023,2024,,electric,,,,,30000,EV cabin filter only
Volvo,XC90,2015,2024,B4204T23,petrol,0W-20,5.4,ACEA C5,Volvo VCC RBS0-2AE,15000,Same engine as XC60
Volvo,XC90,2015,2024,D4204T14,diesel,0W-20,5.9,ACEA C3,Volvo VCC RBS0-2AE,15000,
Volvo,S60,2019,2024,B4204T47,petrol,0W-20,5.4,ACEA C5,Volvo VCC RBS0-2AE,15000,Gen 3 same as XC40
Volvo,S60,2019,2024,D4204T14,diesel,0W-20,5.9,ACEA C3,Volvo VCC RBS0-2AE,15000,
Volvo,S60,2010,2018,B4204T11,petrol,0W-20,5.4,ACEA C2,Volvo VCC RBS0-2AE,15000,Gen 2
Volvo,V60,2018,2024,B4204T47,petrol,0W-20,5.4,ACEA C5,Volvo VCC RBS0-2AE,15000,
Volvo,V60,2018,2024,D4204T14,diesel,0W-20,5.9,ACEA C3,Volvo VCC RBS0-2AE,15000,
Volvo,S90,2016,2024,B4204T23,petrol,0W-20,5.4,ACEA C5,Volvo VCC RBS0-2AE,15000,Same as XC90
Volvo,S90,2016,2024,D4204T14,diesel,0W-20,5.9,ACEA C3,Volvo VCC RBS0-2AE,15000,
Volvo,V90,2016,2024,B4204T23,petrol,0W-20,5.4,ACEA C5,Volvo VCC RBS0-2AE,15000,
Volvo,V90,2016,2024,D4204T14,diesel,0W-20,5.9,ACEA C3,Volvo VCC RBS0-2AE,15000,
Volvo,V40 Cross Country,2013,2019,B4204T11,petrol,0W-20,5.4,ACEA C2,Volvo VCC RBS0-2AE,15000,Same as V40
Volvo,EX30,2024,2024,,electric,,,,,30000,EV cabin filter only
Volvo,EX90,2024,2024,,electric,,,,,30000,EV cabin filter only
Seat,Ateca,2016,2024,CZDA,petrol,5W-30,3.6,ACEA C3,VW 502.00,15000,Already in DB under diff name
Seat,Ateca,2016,2024,DFGA,diesel,5W-30,4.7,ACEA C3,VW 507.00,30000,
Seat,Tarraco,2019,2024,CZDA,petrol,5W-30,3.6,ACEA C3,VW 502.00,15000,Same as Skoda Kodiaq
Seat,Tarraco,2019,2024,DFGA,diesel,5W-30,4.7,ACEA C3,VW 507.00,30000,
Seat,Alhambra,2010,2020,CZDA,petrol,5W-30,3.6,ACEA C3,VW 502.00,15000,
Seat,Alhambra,2010,2020,DFGA,diesel,5W-30,4.7,ACEA C3,VW 507.00,30000,
Seat,Altea,2004,2015,CZCA,petrol,5W-30,3.6,ACEA C3,VW 502.00,15000,
Cupra,Born,2022,2024,,electric,,,,,30000,EV cabin filter only
